one_inch_1_8.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,8,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 8
one_inch_1_9.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,1,PUMP44@5220-5219,10,1,PUMP34@5010-5009,10,1,2909,9,0.0,no max flow,22.0,0.8,0,for loops a:1 b: 9
one_inch_2_0.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,0,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 0
one_inch_2_1.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,1,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 1
one_inch_2_2.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,2,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 2
one_inch_2_3.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,3,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 3
one_inch_2_4.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,4,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 4
one_inch_2_5.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,5,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 5
one_inch_2_6.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,6,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 6
one_inch_2_7.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,7,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 7
one_inch_2_8.p,NoWestside_withISDs_RainEvents.inp,True,ORIFICE33@17312-17313,1,2,PUMP44@5220-5219,10,2,PUMP34@5010-5009,10,2,2909,8,0.0,no max flow,22.0,0.8,0,for loops a:2 b: 8
