[JUNCTIONS]
;;Name           Elevation  MaxDepth   InitDepth  SurDepth   Aponded   
;;-------------- ---------- ---------- ---------- ---------- ----------
16394            573.76     31         0          0          0         
163940           585.06     35         0          0          0         
16395            571.34     33.42      0          0          0         
163950           605.63     13.33      0          0          0         
163960           592.42     28.04      0          0          0         
163970           605.46     13.9       0          0          0         
1642             559.3      24.46      0          0          0         
;Node for the St. Aubin Facility
16441            564.16     40.6       0          0          0         
16444            564.56     38.7       0          0          0         
16447            554.76     48         0          0          0         
164590           574.32     19.71      0          0          0         
;ASI -rev 3-09
164593           576.58     26.05      0          0          0         
;ASI -rev 3-09
164594           578.84     32.38      0          0          0         
1646             560.5      23.76      0          0          0         
;ASI -rev 3-09
164601           582.58     39.48      0          0          0         
;ASI -rev 3-09
164602           584.07     40.23      0          0          0         
;ASI -rev 3-09
164603           585.56     40.98      0          0          0         
164620           590.28     36.98      0          0          0         
164680           602.23     24.73      0          0          0         
;Edited: 10/01 WT Updated to increase stability GDRSS Level
;3.0 Outfall Representation: DuBois Outfall (B12) (9/16/96)
16471            575.76     29         0          0          0         
164710           602.8      28.18      0          0          0         
16472            574.8      29.96      0          0          0         
16475            572.76     32         0          0          0         
1650             560.74     24.02      0          0          0         
;GDRSS Level 3.0 Outfall Representation: Chene Outfall (B11)
;(9/16/96)
16511            574.96     29.8       0          0          0         
16512            574.66     30.1       0          0          0         
;(date: 06-21-2001)  Invert change to account for new
;diversion node at outfall
16513            574.33     29.93      0          0          0         
1654             561.1      23.66      0          0          0         
165500           579.27     46.69      0          0          0         
;ASI -rev 3-09
165501           574.91     47.05      0          0          0         
;ASI -rev 3-09
165502           576.36     46.9       0          0          0         
;ASI -rev 3-09
165503           577.82     46.84      0          0          0         
;Trunk Sewer GDRSS Level 3.0 Outfall Representation: Joseph
;Campau Outfall (B10) (9/16/96)
16551            571.36     33.4       0          0          0         
165520           583.95     44.81      0          0          0         
;ASI -rev 3-09
165531           596.92     33.64      0          0          0         
;ASI -rev 3-09
165532           598.85     30.91      0          0          0         
;ASI -rev 3-09
165533           601.18     25.58      0          0          0         
;ASI -rev 3-09
165541           603.66     25.2       0          0          0         
165550           590.64     36.92      0          0          0         
165580           588.28     40.28      0          0          0         
;ASI -rev 3-09
165601           572.66     29.7       0          0          0         
;ASI -rev 3-09
165602           575.16     33         0          0          0         
;ASI -rev 3-09
165603           577.66     36.3       0          0          0         
;ASI -rev 3-09
165611           582.05     39.01      0          0          0         
;ASI -rev 3-09
165612           583.92     38.44      0          0          0         
;ASI -rev 3-09
165613           585.79     37.87      0          0          0         
165615           580.06     37.7       0          0          0         
165620           587.66     37.3       0          0          0         
1658             561.34     25.42      0          0          0         
1662             561.88     26.88      0          0          0         
16630            572.16     12.2       0          0          0         
;Trunk Sewer GDRSS Level 3.0 Outfall Representation: Adair
;Outfall (B9) (9/16/93)
16631            572.16     27.6       0          0          0         
;ASI -rev 3-09
166312           582.76     24         0          0          0         
;ASI -rev 3-09
166314           586.36     28.7       0          0          0         
16632            571.21     28.55      0          0          0         
166320           590.06     29.73      0          0          0         
166340           593.13     26.07      0          0          0         
166360           574.07     11         0          0          0         
1666             563.09     31.67      0          0          0         
;Trunk Sewer Added Helen Trunk Sewers  ** Townshed Arm
167100           578.7      21.06      0          0          0         
167102           580.1      18.66      0          0          0         
167106           583.18     17.58      0          0          0         
167108           584.86     17.9       0          0          0         
;GDRSS Level 3.0 Outfall Representation: Meldrum Sewer
;Outfall (B7) (9/16/96)
16711            575.06     29.7       0          0          0         
167110           585.46     18.3       0          0          0         
;Vernor
167112           586.48     22.28      0          0          0         
167116           589.54     22.22      0          0          0         
167118           591.07     21.69      0          0          0         
;Sylvester
167120           592.97     21.79      0          0          0         
167124           596.77     21.99      0          0          0         
167126           598.87     19.89      0          0          0         
167128           600.97     19.79      0          0          0         
;** Field Arm
167200           577.3      22.46      0          0          0         
167202           579.2      19.56      0          0          0         
167206           583.4      21.36      0          0          0         
;Vernor
167208           585.7      21.06      0          0          0         
167212           589.46     23.3       0          0          0         
167214           591.13     23.63      0          0          0         
;Sylvester
167216           592.93     23.83      0          0          0         
167220           595.93     23.83      0          0          0         
167222           598.1      22.66      0          0          0         
167224           600.27     22.49      0          0          0         
167226           601.17     24.59      0          0          0         
;** Helen Arm
167302           577.12     19.64      0          0          0         
167306           580.58     23.18      0          0          0         
167308           582.58     23.18      0          0          0         
;Vernor
167310           584.38     23.38      0          0          0         
167314           587.7      23.06      0          0          0         
167316           589.36     23.4       0          0          0         
;Sylvester
167318           591.46     26.3       0          0          0         
167322           595.37     26.39      0          0          0         
167324           597.32     26.44      0          0          0         
167326           599.27     26.49      0          0          0         
1674             564.24     33.52      0          0          0         
;** Concord Arm
167400           576.71     24.05      0          0          0         
167402           578.28     19.48      0          0          0         
167406           581.85     24.91      0          0          0         
167408           583.85     24.91      0          0          0         
;Vernor
167410           585.85     24.91      0          0          0         
167414           589.19     24.57      0          0          0         
167416           590.86     24.9       0          0          0         
167418           592.66     25.1       0          0          0         
167422           596.32     25.44      0          0          0         
167424           598.62     22.14      0          0          0         
;Palmer
167426           600.92     21.84      0          0          0         
16750            575.66     22.1       0          0          0         
;** Beaufait Arm
167500           578.26     23.5       0          0          0         
167502           580.09     17.67      0          0          0         
167506           583.75     18.01      0          0          0         
167508           585.19     29.57      0          0          0         
167510           586.63     30.13      0          0          0         
167512           588.84     28.92      0          0          0         
167514           591.06     28.7       0          0          0         
167516           593.28     28.48      0          0          0         
167518           595.24     27.52      0          0          0         
167520           597.2      27.56      0          0          0         
167522           599.16     27.6       0          0          0         
1678             566.2      29.66      0          0          0         
1680             566.98     29.08      0          0          0         
16810            575.31     20.95      0          0          0         
;Trunk Sewer Added Trunk Sewer  *** Iroquois Trunk Sewer
;(Crane Arm)
168100           577.26     19.5       0          0          0         
168102           578.48     21.28      0          0          0         
168106           580.93     21.83      0          0          0         
168108           582.53     23.23      0          0          0         
;Goethe
168110           583.88     22.88      0          0          0         
168114           587.44     24.32      0          0          0         
168116           588.91     22.85      0          0          0         
;* Forest
168118           590.39     22.37      0          0          0         
168120           592.05     20.71      0          0          0         
;*** Iroquois Trunk Sewer (Iroquois Arm)
168200           576.76     20         0          0          0         
168204           579.68     20.08      0          0          0         
168206           581.49     22.27      0          0          0         
168210           584.91     22.85      0          0          0         
168212           586.52     23.24      0          0          0         
168214           588.66     23.1       0          0          0         
168218           592.43     22.33      0          0          0         
168220           594.23     21.53      0          0          0         
168222           596.03     21.73      0          0          0         
;*** Iroquois Trunk Sewer (VanDyke Arm)
168300           577.26     22.5       0          0          0         
168302           578.7      20.06      0          0          0         
168306           581.62     20.14      0          0          0         
;Vernor
168308           583.31     22.45      0          0          0         
;Added (6/07)  * GDRSS Level 3.0 Outfall Representation:
;FISCHER P.S. Outfall (B4) (9/16/96)
16831            563.96     65.8       0          0          0         
168312           586.43     25.33      0          0          0         
168314           587.86     24.9       0          0          0         
;Sylvester
168316           589.87     21.89      0          0          0         
16832            563.96     65.8       0          0          0         
168320           593.91     23.85      0          0          0         
168322           595.89     23.87      0          0          0         
168324           597.87     23.89      0          0          0         
16833            563.96     65.8       0          0          0         
16834            563.96     65.8       0          0          0         
1684             567.42     28.94      0          0          0         
;Added (6/07)
16855            557.86     43.5       0          0          0         
16856            565.06     34.4       0          0          0         
;Added (6/07)
16857            565.71     35.65      0          0          0         
16858            566.36     33.4       0          0          0         
;Added (6/07)
16859            566.71     34.65      0          0          0         
1686             568.14     18.02      0          0          0         
16860            567.06     34.3       0          0          0         
;* Vernor Hwy
168611           571.49     29.87      0          0          0         
;* Vernor Hwy
168615           578.13     23.23      0          0          0         
16862            569.86     34.1       0          0          0         
168621           568.08     31.38      0          0          0         
168622           568.65     32.01      0          0          0         
168623           569.21     32.85      0          0          0         
;Goethe
16863            575.36     28.6       0          0          0         
;Goethe
168631           571.76     32.1       0          0          0         
;Goethe
168632           572.74     31.12      0          0          0         
;Goethe
168633           573.71     30.15      0          0          0         
;Goethe
168634           574.54     29.32      0          0          0         
16864            573.06     38.3       0          0          0         
168641           571.28     35.48      0          0          0         
168642           571.86     36.4       0          0          0         
168643           572.44     38.52      0          0          0         
;Sylvester
16865            589.42     21.94      0          0          0         
;Sylvester
168652           580.22     30.04      0          0          0         
;Sylvester
168653           583.19     32.57      0          0          0         
;Sylvester
168654           585.47     31.59      0          0          0         
168655           584.13     32         0          0          0         
16866            578.06     36         0          0          0         
168661           574.33     35.23      0          0          0         
168662           574.95     32.61      0          0          0         
168663           575.57     36.39      0          0          0         
168664           576.19     35.47      0          0          0         
168665           576.8      36.36      0          0          0         
168666           577.42     35.24      0          0          0         
;Moffat (West)
16867            587.91     38.25      0          0          0         
;Seneca
168680           582.71     43.25      0          0          0         
;Seneca
168681           584.42     42.54      0          0          0         
;Seneca
168683           585.29     42.67      0          0          0         
;Moffat (East)
16869            586.36     27.7       0          0          0         
;Seneca
168690           586.16     41.8       0          0          0         
;* Moffat (East)
168692           584.13     29.93      0          0          0         
;Seneca
168693           587.03     40.93      0          0          0         
;GDRSS Level 3.0 Outfall Representation: McClellan/Cadillac
;Outfall (B3)(9/17/96)  * 1
16870            573.81     12.35      0          0          0         
168704           578.68     20.08      0          0          0         
168706           579.62     20.14      0          0          0         
168708           580.99     22.77      0          0          0         
;(1)McClellan Outfall
16871            575.76     24         0          0          0         
